Task 3 - All Countries
script.js:15 Name : Belize, Region : Americas, SubRegion : Central America, Population : 397621
script.js:15 Name : Antigua and Barbuda, Region : Americas, SubRegion : Caribbean, Population : 97928
script.js:15 Name : Paraguay, Region : Americas, SubRegion : South America, Population : 7132530
script.js:15 Name : Benin, Region : Africa, SubRegion : Western Africa, Population : 12123198
script.js:15 Name : Brunei, Region : Asia, SubRegion : South-Eastern Asia, Population : 437483
script.js:15 Name : Bolivia, Region : Americas, SubRegion : South America, Population : 11673029
script.js:15 Name : Djibouti, Region : Africa, SubRegion : Eastern Africa, Population : 988002
script.js:15 Name : French Guiana, Region : Americas, SubRegion : South America, Population : 254541
script.js:15 Name : Canada, Region : Americas, SubRegion : North America, Population : 38005238
script.js:15 Name : Saint Pierre and Miquelon, Region : Americas, SubRegion : North America, Population : 6069
script.js:15 Name : Japan, Region : Asia, SubRegion : Eastern Asia, Population : 125836021
script.js:15 Name : Rwanda, Region : Africa, SubRegion : Eastern Africa, Population : 12952209
script.js:15 Name : Saint Vincent and the Grenadines, Region : Americas, SubRegion : Caribbean, Population : 110947
script.js:15 Name : Iceland, Region : Europe, SubRegion : Northern Europe, Population : 366425
script.js:15 Name : Belarus, Region : Europe, SubRegion : Eastern Europe, Population : 9398861
script.js:15 Name : Hong Kong, Region : Asia, SubRegion : Eastern Asia, Population : 7500700
script.js:15 Name : Lesotho, Region : Africa, SubRegion : Southern Africa, Population : 2142252
script.js:15 Name : Fiji, Region : Oceania, SubRegion : Melanesia, Population : 896444
script.js:15 Name : Austria, Region : Europe, SubRegion : Central Europe, Population : 8917205
script.js:15 Name : Colombia, Region : Americas, SubRegion : South America, Population : 50882884
script.js:15 Name : Gabon, Region : Africa, SubRegion : Middle Africa, Population : 2225728
script.js:15 Name : Saudi Arabia, Region : Asia, SubRegion : Western Asia, Population : 34813867
script.js:15 Name : South Georgia, Region : Antarctic, SubRegion : undefined, Population : 30
script.js:15 Name : Ethiopia, Region : Africa, SubRegion : Eastern Africa, Population : 114963583
script.js:15 Name : Caribbean Netherlands, Region : Americas, SubRegion : Caribbean, Population : 25987
script.js:15 Name : Monaco, Region : Europe, SubRegion : Western Europe, Population : 39244
script.js:15 Name : North Korea, Region : Asia, SubRegion : Eastern Asia, Population : 25778815
script.js:15 Name : Italy, Region : Europe, SubRegion : Southern Europe, Population : 59554023
script.js:15 Name : Namibia, Region : Africa, SubRegion : Southern Africa, Population : 2540916
script.js:15 Name : Mongolia, Region : Asia, SubRegion : Eastern Asia, Population : 3278292
script.js:15 Name : Solomon Islands, Region : Oceania, SubRegion : Melanesia, Population : 686878
script.js:15 Name : Yemen, Region : Asia, SubRegion : Western Asia, Population : 29825968
script.js:15 Name : Romania, Region : Europe, SubRegion : Southeast Europe, Population : 19286123
script.js:15 Name : Svalbard and Jan Mayen, Region : Europe, SubRegion : Northern Europe, Population : 2562
script.js:15 Name : France, Region : Europe, SubRegion : Western Europe, Population : 67391582
